module,phase,name,code,sequence,workflow-file,command,required,agent,options,description,output-location,outputs,
gos,3-distribution,Create Event Strategy,EV,60,_bmad/gos/workflows/3-distribution/create-event-strategy/workflow.md,bmad-gos-create-event-strategy,false,outreach-director,Create Mode,"Event strategy for conferences, webinars, and community events",campaign_artifacts,"event strategy",
gos,4-pipeline,Create Pipeline Architecture,PL,10,_bmad/gos/workflows/4-pipeline/create-pipeline-architecture/workflow.md,bmad-gos-create-pipeline-architecture,true,pipeline-architect,Create Mode,"Full pipeline architecture with stages, automation, and scoring",pipeline_config,"pipeline architecture",
gos,4-pipeline,Create Lead Scoring,LS,20,_bmad/gos/workflows/4-pipeline/create-lead-scoring/workflow.md,bmad-gos-create-lead-scoring,false,pipeline-architect,Create Mode,"Lead scoring model with demographic and behavioral signals",pipeline_config,"lead scoring model",
gos,4-pipeline,Create Nurture Sequences,NS,30,_bmad/gos/workflows/4-pipeline/create-nurture-sequences/workflow.md,bmad-gos-create-nurture-sequences,false,email-architect,Create Mode,"Lead nurture sequences with segmentation and automation rules",pipeline_config,"nurture sequences",
gos,4-pipeline,Create Onboarding Flow,OB,40,_bmad/gos/workflows/4-pipeline/create-onboarding-flow/workflow.md,bmad-gos-create-onboarding-flow,false,pipeline-architect,Create Mode,"Customer onboarding flow with activation milestones",pipeline_config,"onboarding flow",
gos,4-pipeline,Create Sales Playbooks,SP,50,_bmad/gos/workflows/4-pipeline/create-sales-playbooks/workflow.md,bmad-gos-create-sales-playbooks,false,sales-strategist,Create Mode,"Sales playbooks with objection handling and closing frameworks",pipeline_config,"sales playbooks",
gos,5-sales,Create Sales Scripts,SS,10,_bmad/gos/workflows/5-sales/create-sales-scripts/workflow.md,bmad-gos-create-sales-scripts,false,sales-strategist,Create Mode,"Sales scripts for discovery, demo, and closing calls",growth_artifacts,"sales scripts",
gos,5-sales,Create Proposal Templates,PT,20,_bmad/gos/workflows/5-sales/create-proposal-templates/workflow.md,bmad-gos-create-proposal-templates,false,sales-strategist,Create Mode,"Proposal templates with pricing and value presentation",growth_artifacts,"proposal templates",
gos,5-sales,Create Closing Workflows,CW,30,_bmad/gos/workflows/5-sales/create-closing-workflows/workflow.md,bmad-gos-create-closing-workflows,false,sales-strategist,Create Mode,"Deal closing workflows with negotiation and contract processes",growth_artifacts,"closing workflows",
gos,5-sales,Create Upsell Strategy,US,40,_bmad/gos/workflows/5-sales/create-upsell-strategy/workflow.md,bmad-gos-create-upsell-strategy,false,sales-strategist,Create Mode,"Upsell and cross-sell strategy with expansion playbooks",growth_artifacts,"upsell strategy",
gos,6-analytics,Growth Dashboard,GD,10,_bmad/gos/workflows/6-analytics/growth-dashboard/workflow.md,bmad-gos-growth-dashboard,false,growth-analyst,Create Mode,"Growth metrics dashboard specification with KPI definitions",analytics_reports,"growth dashboard",
gos,6-analytics,Campaign Performance,CA,20,_bmad/gos/workflows/6-analytics/campaign-performance/workflow.md,bmad-gos-campaign-performance,false,growth-analyst,Create Mode,"Campaign performance analysis framework and reporting",analytics_reports,"campaign report",
gos,6-analytics,Funnel Analysis,FA,30,_bmad/gos/workflows/6-analytics/funnel-analysis/workflow.md,bmad-gos-funnel-analysis,false,growth-analyst,Create Mode,"Full-funnel conversion analysis with drop-off identification",analytics_reports,"funnel analysis",
gos,6-analytics,Growth Experiments,GE,40,_bmad/gos/workflows/6-analytics/growth-experiments/workflow.md,bmad-gos-growth-experiments,false,growth-analyst,Create Mode,"Growth experiment framework with hypothesis and test design",analytics_reports,"experiment plan",
gos,6-analytics,Retention Analysis,RA,50,_bmad/gos/workflows/6-analytics/retention-analysis/workflow.md,bmad-gos-retention-analysis,false,growth-analyst,Create Mode,"Retention and churn analysis with cohort breakdown",analytics_reports,"retention analysis",
gos,anytime,Quick Spec,QS,,_bmad/gos/workflows/gos-quick-flow/gos-quick-spec/workflow.md,bmad-gos-quick-spec,false,gos-quick-flow,Create Mode,"Quick spec a single GrowthOS deliverable without full engagement ceremony",growth_artifacts,"quick spec",
gos,anytime,Quick Deliver,QD,,_bmad/gos/workflows/gos-quick-flow/gos-quick-deliver/workflow.md,bmad-gos-quick-deliver,false,gos-quick-flow,Create Mode,"Quick deliver a single GrowthOS output without full engagement ceremony",growth_artifacts,"quick deliverable",
gos,task,Content Audit,T-CA,,_bmad/gos/tasks/content-audit.xml,via BMad Master [LT],false,content-architect,Task,"Audit existing content for gaps, optimization opportunities, and content-market fit",analytics_reports,"content audit",
gos,task,SEO Audit,T-SE,,_bmad/gos/tasks/seo-audit.xml,via BMad Master [LT],false,seo-strategist,Task,"Technical and content SEO audit with actionable recommendations",analytics_reports,"seo audit",
gos,task,Campaign Performance Review,T-CR,,_bmad/gos/tasks/campaign-performance-review.xml,via BMad Master [LT],false,growth-analyst,Task,"Analyze campaign performance metrics and recommend optimizations",analytics_reports,"campaign review",
gos,task,Pipeline Health Check,T-PH,,_bmad/gos/tasks/pipeline-health-check.xml,via BMad Master [LT],false,pipeline-architect,Task,"Review pipeline stages, conversion rates, velocity, and identify bottlenecks",analytics_reports,"pipeline health",
gos,task,Product Brand Consistency Check,T-BC,,_bmad/gos/tasks/brand-consistency-check.xml,via BMad Master [LT],false,creative-director,Task,"Review content across channels for product brand voice and visual consistency",analytics_reports,"brand check",
gos,task,Channel ROI Analysis,T-RA,,_bmad/gos/tasks/channel-roi-analysis.xml,via BMad Master [LT],false,growth-analyst,Task,"Compare channel performance and recommend budget reallocation",analytics_reports,"channel roi",
gos,task,Competitor Content Analysis,T-CC,,_bmad/gos/tasks/competitor-content-analysis.xml,via BMad Master [LT],false,content-architect,Task,"Analyze competitor content strategy, identify gaps and opportunities",analytics_reports,"competitor analysis",
gos,task,Lead Scoring Validation,T-LV,,_bmad/gos/tasks/lead-scoring-validation.xml,via BMad Master [LT],false,pipeline-architect,Task,"Validate lead scoring model accuracy against actual conversion outcomes",analytics_reports,"scoring validation",
