module,phase,name,code,sequence,workflow-file,command,required,agent,options,description,output-location,outputs,
ios,4-materials,Create Data Room,DR,10,_bmad/ios/workflows/4-materials/create-data-room/workflow.md,bmad-ios-create-data-room,true,data-room-architect,Create Mode,"21+ document institutional-grade data room",planning_artifacts,"data room",
ios,4-materials,Create Investor Narrative,IN,20,_bmad/ios/workflows/4-materials/create-investor-narrative/workflow.md,bmad-ios-create-investor-narrative,true,narrative-director,Create Mode,"Investment thesis and pitch narrative",planning_artifacts,"investor narrative",
ios,4-materials,Create Operational Blueprint,OB,30,_bmad/ios/workflows/4-materials/create-operational-blueprint/workflow.md,bmad-ios-create-operational-blueprint,false,operations-strategist,Create Mode,"SOPs, org chart, operational processes, KPI framework",planning_artifacts,"operational blueprint",
ios,4-materials,Plan Investor Platform,PP,40,_bmad/ios/workflows/4-materials/plan-investor-platform/workflow.md,bmad-ios-plan-investor-platform,false,platform-architect,Create Mode,"Investor portal architecture and feature specification",planning_artifacts,"platform plan",
ios,4-materials,Design Investor Platform,PD,50,_bmad/ios/workflows/4-materials/design-investor-platform/workflow.md,bmad-ios-design-investor-platform,false,platform-architect,Create Mode,"Design system, component library, and user flows",planning_artifacts,"platform design",
ios,4-materials,Create Brand Guidelines,BG,60,_bmad/ios/workflows/4-materials/create-brand-guidelines/workflow.md,bmad-ios-create-brand-guidelines,false,narrative-director,Create Mode,"Brand voice and visual identity system",planning_artifacts,"brand guidelines",
ios,5-execution,Engagement Status,ES,10,_bmad/ios/workflows/5-execution/engagement-status/workflow.md,bmad-ios-engagement-status,false,engagement-lead,Create Mode,"Status report across all workstreams",planning_artifacts,"status report",
ios,5-execution,Quality Check,QC,20,_bmad/ios/workflows/5-execution/quality-check/workflow.md,bmad-ios-quality-check,false,engagement-lead,Validate Mode,"Quality review across all deliverables",planning_artifacts,"quality report",
ios,5-execution,Validate Cross References,VX,30,_bmad/ios/workflows/5-execution/validate-cross-references/workflow.md,bmad-ios-validate-cross-references,false,data-room-architect,Validate Mode,"Cross-document figure and claim consistency validation",planning_artifacts,"cross-ref validation",
ios,5-execution,Investor Readiness,IR,40,_bmad/ios/workflows/5-execution/investor-readiness/workflow.md,bmad-ios-investor-readiness,true,investment-strategist,Validate Mode,"8-dimension readiness score (0-100) with gap analysis",planning_artifacts,"readiness scorecard",
ios,anytime,Quick Spec,QS,,_bmad/ios/workflows/ios-quick-flow/ios-quick-spec/workflow.md,bmad-ios-quick-spec,false,quick-flow-delivery,Create Mode,"Quick spec a single IOS deliverable without full engagement ceremony",planning_artifacts,"quick spec",
ios,anytime,Quick Deliver,QD,,_bmad/ios/workflows/ios-quick-flow/ios-quick-deliver/workflow.md,bmad-ios-quick-deliver,false,quick-flow-delivery,Create Mode,"Quick deliver a single IOS output without full engagement ceremony",,
