name,description,module,path
"ios-create-operational-blueprint","SOPs, org chart, operational processes, and KPI framework","ios","_bmad/ios/workflows/4-materials/create-operational-blueprint/workflow.md"
"ios-plan-investor-platform","Investor portal architecture and feature specification","ios","_bmad/ios/workflows/4-materials/plan-investor-platform/workflow.md"
"ios-design-investor-platform","Design system, component library, and user flows for investor platform","ios","_bmad/ios/workflows/4-materials/design-investor-platform/workflow.md"
"ios-create-brand-guidelines","Brand voice and visual identity system","ios","_bmad/ios/workflows/4-materials/create-brand-guidelines/workflow.md"
"ios-engagement-status","Status report across all engagement workstreams","ios","_bmad/ios/workflows/5-execution/engagement-status/workflow.md"
"ios-quality-check","Quality review across all deliverables","ios","_bmad/ios/workflows/5-execution/quality-check/workflow.md"
"ios-validate-cross-references","Cross-document figure and claim consistency validation","ios","_bmad/ios/workflows/5-execution/validate-cross-references/workflow.md"
"ios-investor-readiness","8-dimension investor readiness score (0-100) with gap analysis","ios","_bmad/ios/workflows/5-execution/investor-readiness/workflow.md"
"ios-quick-spec","Quick spec a single IOS deliverable without full engagement ceremony","ios","_bmad/ios/workflows/ios-quick-flow/ios-quick-spec/workflow.md"
"ios-quick-deliver","Quick deliver a single IOS output without full engagement ceremony","ios","_bmad/ios/workflows/ios-quick-flow/ios-quick-deliver/workflow.md"
"aos-project-intake","Import source documents, categorize content for investor communications, create master digest, identify gaps, and generate project config for downstream AOS workflows","aos","_bmad/aos/workflows/0-intake/project-intake/workflow.md"
"aos-full-campaign-orchestration","Auto-execute all AOS workflows in dependency order with progress tracking, context-aware checkpoints, and session resume capability","aos","_bmad/aos/workflows/0-orchestration/full-campaign-orchestration/workflow.md"
"aos-brand-voice-setup","Establish brand voice and visual identity guidelines for investor communications","aos","_bmad/aos/workflows/1-strategy-foundation/brand-voice-setup/workflow.md"
"aos-compliance-framework","Create compliance review framework for all investor communications","aos","_bmad/aos/workflows/1-strategy-foundation/compliance-framework/workflow.md"
"aos-investor-segmentation","Investor persona development and communication preferences","aos","_bmad/aos/workflows/1-strategy-foundation/investor-segmentation/workflow.md"
"aos-market-intelligence","Competitive landscape, investor sentiment, and market trends","aos","_bmad/aos/workflows/1-strategy-foundation/market-intelligence/workflow.md"
"aos-create-offering-circular","Full offering circular with all required disclosures","aos","_bmad/aos/workflows/2-content-production/create-offering-circular/workflow.md"
"aos-create-investor-deck","Investor presentation deck with narrative arc and data visualization","aos","_bmad/aos/workflows/2-content-production/create-investor-deck/workflow.md"
"aos-create-email-campaign","Investor email drip sequence with compliance review","aos","_bmad/aos/workflows/2-content-production/create-email-campaign/workflow.md"
"aos-create-video-scripts","Video content scripts for investor communications","aos","_bmad/aos/workflows/2-content-production/create-video-scripts/workflow.md"
"aos-create-landing-pages","Investor-facing landing pages with conversion optimization","aos","_bmad/aos/workflows/2-content-production/create-landing-pages/workflow.md"
"aos-create-social-content","Social media content calendar and posts for investor awareness","aos","_bmad/aos/workflows/2-content-production/create-social-content/workflow.md"
"aos-financial-content-package","Financial communications package with metrics and narrative","aos","_bmad/aos/workflows/2-content-production/financial-content-package/workflow.md"
"aos-content-compliance-review","Review any content piece for regulatory compliance","aos","_bmad/aos/workflows/3-review-compliance/content-compliance-review/workflow.md"
"aos-offering-document-review","Deep review of offering documents for SEC/FINRA compliance","aos","_bmad/aos/workflows/3-review-compliance/offering-document-review/workflow.md"
"aos-final-gate-review","Final adversarial review before distribution","aos","_bmad/aos/workflows/3-review-compliance/final-gate-review/workflow.md"
"aos-disclosure-review","Validate all required disclosures are present and formatted","aos","_bmad/aos/workflows/3-review-compliance/disclosure-review/workflow.md"
"aos-create-campaign","Multi-channel investor communication campaign","aos","_bmad/aos/workflows/4-distribution-campaign/create-campaign/workflow.md"
"aos-campaign-planning","Quick campaign planning session","aos","_bmad/aos/workflows/4-distribution-campaign/campaign-planning/workflow.md"
"aos-campaign-status","Campaign status report across all channels","aos","_bmad/aos/workflows/4-distribution-campaign/campaign-status/workflow.md"
"aos-create-roadshow","Investor roadshow planning with schedule and presentations","aos","_bmad/aos/workflows/4-distribution-campaign/create-roadshow/workflow.md"
"aos-crisis-response","Crisis response protocol with situation analysis and monitoring","aos","_bmad/aos/workflows/5-crisis-ongoing/crisis-response/workflow.md"
"aos-sec-comment-response","SEC comment letter point-by-point response","aos","_bmad/aos/workflows/5-crisis-ongoing/sec-comment-response/workflow.md"
"aos-campaign-retrospective","Post-campaign performance review with lessons learned","aos","_bmad/aos/workflows/5-crisis-ongoing/campaign-retrospective/workflow.md"
"aos-quick-spec","Quick spec a single AOS content deliverable","aos","_bmad/aos/workflows/aos-quickflow/aos-quick-spec/workflow.md"
"aos-quick-deliver","Quick deliver a single AOS content piece","aos","_bmad/aos/workflows/aos-quickflow/aos-quick-deliver/workflow.md"
"gos-project-intake","Import source documents, categorize content for growth marketing, create master digest, identify gaps, and generate project config for downstream GOS workflows","gos","_bmad/gos/workflows/0-intake/project-intake/workflow.md"
"gos-full-growth-orchestration","Auto-execute all GOS workflows in dependency order with progress tracking, context-aware checkpoints, and session resume capability","gos","_bmad/gos/workflows/0-orchestration/full-growth-orchestration/workflow.md"
"gos-create-growth-strategy","Full-funnel growth strategy with unit economics and channel prioritization","gos","_bmad/gos/workflows/1-strategy/create-growth-strategy/workflow.md"
"gos-create-growth-model","Quantitative growth model with projections and scenario analysis","gos","_bmad/gos/workflows/1-strategy/create-growth-model/workflow.md"
"gos-create-customer-personas","Detailed customer personas with pain points and buying behavior","gos","_bmad/gos/workflows/1-strategy/create-customer-personas/workflow.md"
"gos-create-channel-strategy","Channel mix strategy with budget allocation and ROI projections","gos","_bmad/gos/workflows/1-strategy/create-channel-strategy/workflow.md"
"gos-competitive-positioning","Competitive landscape analysis and differentiation strategy","gos","_bmad/gos/workflows/1-strategy/competitive-positioning/workflow.md"
"gos-create-product-brand-voice","Product brand voice guidelines and messaging framework","gos","_bmad/gos/workflows/1-strategy/create-product-brand-voice/workflow.md"
"gos-create-content-strategy","Content strategy mapped to funnel stages and channels","gos","_bmad/gos/workflows/2-content-engine/create-content-strategy/workflow.md"
"gos-create-seo-strategy","Technical and content SEO strategy with keyword targeting","gos","_bmad/gos/workflows/2-content-engine/create-seo-strategy/workflow.md"
"gos-create-blog-content","SEO-optimized blog posts with keyword targeting data","gos","_bmad/gos/workflows/2-content-engine/create-blog-content/workflow.md"
"gos-create-social-content","Platform-native social media content calendar and posts","gos","_bmad/gos/workflows/2-content-engine/create-social-content/workflow.md"
"gos-create-email-sequences","Email nurture and lifecycle sequences with automation logic","gos","_bmad/gos/workflows/2-content-engine/create-email-sequences/workflow.md"
"gos-create-video-content","Video content strategy with scripts and production plans","gos","_bmad/gos/workflows/2-content-engine/create-video-content/workflow.md"
"gos-create-podcast-plan","Podcast strategy with episode planning and guest framework","gos","_bmad/gos/workflows/2-content-engine/create-podcast-plan/workflow.md"
"gos-create-social-campaigns","Social media campaign strategy with platform-specific tactics","gos","_bmad/gos/workflows/3-distribution/create-social-campaigns/workflow.md"
"gos-create-paid-campaigns","Paid media campaign structure with targeting and creative briefs","gos","_bmad/gos/workflows/3-distribution/create-paid-campaigns/workflow.md"
"gos-launch-campaign","Campaign launch checklist and execution plan","gos","_bmad/gos/workflows/3-distribution/launch-campaign/workflow.md"
"gos-create-pr-campaign","PR campaign strategy with media outreach and press materials","gos","_bmad/gos/workflows/3-distribution/create-pr-campaign/workflow.md"
"gos-create-partner-program","Partnership program framework with co-marketing strategy","gos","_bmad/gos/workflows/3-distribution/create-partner-program/workflow.md"
"gos-create-event-strategy","Event strategy for conferences, webinars, and community events","gos","_bmad/gos/workflows/3-distribution/create-event-strategy/workflow.md"
"gos-create-pipeline-architecture","Full pipeline architecture with stages, automation, and scoring","gos","_bmad/gos/workflows/4-pipeline/create-pipeline-architecture/workflow.md"
"gos-create-lead-scoring","Lead scoring model with demographic and behavioral signals","gos","_bmad/gos/workflows/4-pipeline/create-lead-scoring/workflow.md"
"gos-create-nurture-sequences","Lead nurture sequences with segmentation and automation rules","gos","_bmad/gos/workflows/4-pipeline/create-nurture-sequences/workflow.md"
"gos-create-onboarding-flow","Customer onboarding flow with activation milestones","gos","_bmad/gos/workflows/4-pipeline/create-onboarding-flow/workflow.md"
"gos-create-sales-playbooks","Sales playbooks with objection handling and closing frameworks","gos","_bmad/gos/workflows/4-pipeline/create-sales-playbooks/workflow.md"
"gos-create-sales-scripts","Sales scripts for discovery, demo, and closing calls","gos","_bmad/gos/workflows/5-sales/create-sales-scripts/workflow.md"
"gos-create-proposal-templates","Proposal templates with pricing and value presentation","gos","_bmad/gos/workflows/5-sales/create-proposal-templates/workflow.md"
"gos-create-closing-workflows","Deal closing workflows with negotiation and contract processes","gos","_bmad/gos/workflows/5-sales/create-closing-workflows/workflow.md"
"gos-create-upsell-strategy","Upsell and cross-sell strategy with expansion playbooks","gos","_bmad/gos/workflows/5-sales/create-upsell-strategy/workflow.md"
"gos-growth-dashboard","Growth metrics dashboard specification with KPI definitions","gos","_bmad/gos/workflows/6-analytics/growth-dashboard/workflow.md"
"gos-campaign-performance","Campaign performance analysis framework and reporting","gos","_bmad/gos/workflows/6-analytics/campaign-performance/workflow.md"
"gos-funnel-analysis","Full-funnel conversion analysis with drop-off identification","gos","_bmad/gos/workflows/6-analytics/funnel-analysis/workflow.md"
"gos-growth-experiments","Growth experiment framework with hypothesis and test design","gos","_bmad/gos/workflows/6-analytics/growth-experiments/workflow.md"
"gos-retention-analysis","Retention and churn analysis with cohort breakdown","gos","_bmad/gos/workflows/6-analytics/retention-analysis/workflow.md"
"gos-quick-spec","Quick spec a single GrowthOS deliverable without full engagement ceremony","gos","_bmad/gos/workflows/gos-quick-flow/gos-quick-spec/workflow.md"
"gos-quick-deliver","Quick deliver a single GrowthOS output without full engagement ceremony","gos","_bmad/gos/workflows/gos-quick-flow/gos-quick-deliver/workflow.md"
"doctrine-intake","Load Living Light doctrine and calibrate for project context","sos","_bmad/sos/workflows/0-intake/doctrine-intake/workflow.md"
"full-alignment-orchestration","Run all gates + council review across full engagement","sos","_bmad/sos/workflows/0-orchestration/full-alignment-orchestration/workflow.md"
"invoke-council","Full 7-member Stewardship Council deliberation and ruling","sos","_bmad/sos/workflows/council/invoke-council/workflow.md"
"invoke-oracle","Oracle of Soul Purpose counsel on soul alignment","sos","_bmad/sos/workflows/council/invoke-oracle/workflow.md"
"invoke-guardian","Guardian of Gaia counsel on earth stewardship","sos","_bmad/sos/workflows/council/invoke-guardian/workflow.md"
"invoke-architect","Architect of Sacred Systems counsel on sovereignty","sos","_bmad/sos/workflows/council/invoke-architect/workflow.md"
"invoke-flame","Flame of Cultural Restoration counsel on cultural sensitivity","sos","_bmad/sos/workflows/council/invoke-flame/workflow.md"
"invoke-weaver","Weaver of Collective Futures counsel on consent and generational impact","sos","_bmad/sos/workflows/council/invoke-weaver/workflow.md"
"invoke-steward","Steward of Exchange counsel on fair value and reciprocity","sos","_bmad/sos/workflows/council/invoke-steward/workflow.md"
"invoke-mirror","Mirror of the Multiverse counsel on shadow and timelines","sos","_bmad/sos/workflows/council/invoke-mirror/workflow.md"
"soul-gate-review","Does this align with soul purpose and authentic truth?","sos","_bmad/sos/workflows/gates/soul-gate-review/workflow.md"
"earth-gate-review","Does this honor the physical world and ecological balance?","sos","_bmad/sos/workflows/gates/earth-gate-review/workflow.md"
"consent-gate-review","Is there proper authority and informed consent?","sos","_bmad/sos/workflows/gates/consent-gate-review/workflow.md"
"sovereignty-gate-review","Does this preserve independence and systemic integrity?","sos","_bmad/sos/workflows/gates/sovereignty-gate-review/workflow.md"
"four-gates-review","All 4 Sacred Gates combined review","sos","_bmad/sos/workflows/gates/four-gates-review/workflow.md"
"values-alignment","Score against 7 Divine Values","sos","_bmad/sos/workflows/alignment/values-alignment/workflow.md"
"ethics-alignment","Score against 7 Divine Ethics","sos","_bmad/sos/workflows/alignment/ethics-alignment/workflow.md"
"morals-check","Check against 7 Inviolable Morals with hard stop on violation","sos","_bmad/sos/workflows/alignment/morals-check/workflow.md"
"sacred-law-counsel","Consult relevant Sacred Laws from the 50 Gates of Binah","sos","_bmad/sos/workflows/alignment/sacred-law-counsel/workflow.md"
"full-alignment","Comprehensive values + ethics + morals + gates review","sos","_bmad/sos/workflows/alignment/full-alignment/workflow.md"
"legion-activation","Full Legion protective review with all 7 Commanders","sos","_bmad/sos/workflows/legion/legion-activation/workflow.md"
"shadow-integration","Shadow work using Klippot framework — integrate, not destroy","sos","_bmad/sos/workflows/legion/shadow-integration/workflow.md"
"klippah-assessment","Identify which shells and distortions are present","sos","_bmad/sos/workflows/legion/klippah-assessment/workflow.md"
"project-blessing","Ceremonial blessing for project launch","sos","_bmad/sos/workflows/blessing/project-blessing/workflow.md"
"milestone-blessing","Bless phase completion or milestone achievement","sos","_bmad/sos/workflows/blessing/milestone-blessing/workflow.md"
"alignment-certification","Formal certification of spiritual alignment","sos","_bmad/sos/workflows/blessing/alignment-certification/workflow.md"
"sos-quick-check","Quick alignment check against Living Light principles","sos","_bmad/sos/workflows/sos-quick-flow/sos-quick-check/workflow.md"
"sos-quick-counsel","Quick spiritual counsel on any question or concern","sos","_bmad/sos/workflows/sos-quick-flow/sos-quick-counsel/workflow.md"
