module,phase,name,code,sequence,workflow-file,command,required,agent,options,description,output-location,outputs,
aos,2-content,Create Landing Pages,LP,50,_bmad/aos/workflows/2-content-production/create-landing-pages/workflow.md,bmad-aos-create-landing-pages,false,aos-content,Create Mode,"Investor-facing landing pages with conversion optimization",planning_artifacts,"landing pages",
aos,2-content,Create Social Content,SC,60,_bmad/aos/workflows/2-content-production/create-social-content/workflow.md,bmad-aos-create-social-content,false,aos-content,Create Mode,"Social media content calendar and posts for investor awareness",planning_artifacts,"social content",
aos,2-content,Financial Content Package,FP,70,_bmad/aos/workflows/2-content-production/financial-content-package/workflow.md,bmad-aos-financial-content-package,false,aos-fincomm,Create Mode,"Financial communications package with metrics, narrative, and FAQ",planning_artifacts,"financial content",
aos,3-review,Content Compliance Review,CR,10,_bmad/aos/workflows/3-review-compliance/content-compliance-review/workflow.md,bmad-aos-content-compliance-review,false,aos-reviewer,Validate Mode,"Review any content piece for regulatory compliance",planning_artifacts,"compliance review",
aos,3-review,Offering Document Review,OR,20,_bmad/aos/workflows/3-review-compliance/offering-document-review/workflow.md,bmad-aos-offering-document-review,false,aos-reviewer,Validate Mode,"Deep review of offering documents for SEC/FINRA compliance",planning_artifacts,"offering review",
aos,3-review,Final Gate Review,FG,30,_bmad/aos/workflows/3-review-compliance/final-gate-review/workflow.md,bmad-aos-final-gate-review,false,aos-reviewer,Validate Mode,"Final adversarial review before distribution",planning_artifacts,"final gate",
aos,3-review,Disclosure Review,DR,40,_bmad/aos/workflows/3-review-compliance/disclosure-review/workflow.md,bmad-aos-disclosure-review,false,aos-reviewer,Validate Mode,"Validate all required disclosures are present and properly formatted",planning_artifacts,"disclosure review",
aos,4-distribution,Create Campaign,CC,10,_bmad/aos/workflows/4-distribution-campaign/create-campaign/workflow.md,bmad-aos-create-campaign,true,aos-orchestrator,Create Mode,"Multi-channel investor communication campaign with timeline and metrics",planning_artifacts,"campaign plan",
aos,4-distribution,Campaign Planning,CP,20,_bmad/aos/workflows/4-distribution-campaign/campaign-planning/workflow.md,bmad-aos-campaign-planning,false,aos-orchestrator,Create Mode,"Quick campaign planning session",planning_artifacts,"campaign planning",
aos,4-distribution,Campaign Status,CS,30,_bmad/aos/workflows/4-distribution-campaign/campaign-status/workflow.md,bmad-aos-campaign-status,false,aos-orchestrator,Create Mode,"Campaign status report across all channels",planning_artifacts,"campaign status",
aos,4-distribution,Create Roadshow,RD,40,_bmad/aos/workflows/4-distribution-campaign/create-roadshow/workflow.md,bmad-aos-create-roadshow,false,aos-ir,Create Mode,"Investor roadshow planning with schedule, venues, and presentations",planning_artifacts,"roadshow plan",
aos,5-crisis,Crisis Response,CR,10,_bmad/aos/workflows/5-crisis-ongoing/crisis-response/workflow.md,bmad-aos-crisis-response,false,aos-crisis,Create Mode,"Crisis response protocol with situation analysis and monitoring",planning_artifacts,"crisis response",
aos,5-crisis,SEC Comment Response,SC,20,_bmad/aos/workflows/5-crisis-ongoing/sec-comment-response/workflow.md,bmad-aos-sec-comment-response,false,aos-crisis,Create Mode,"SEC comment letter point-by-point response",planning_artifacts,"sec response",
aos,5-crisis,Campaign Retrospective,RT,30,_bmad/aos/workflows/5-crisis-ongoing/campaign-retrospective/workflow.md,bmad-aos-campaign-retrospective,false,aos-orchestrator,Create Mode,"Post-campaign performance review with lessons learned",planning_artifacts,"campaign retro",
aos,anytime,Quick Spec,QS,,_bmad/aos/workflows/aos-quickflow/aos-quick-spec/workflow.md,bmad-aos-quick-spec,false,aos-quickflow,Create Mode,"Quick spec a single AOS content deliverable",planning_artifacts,"quick spec",
aos,anytime,Quick Deliver,QD,,_bmad/aos/workflows/aos-quickflow/aos-quick-deliver/workflow.md,bmad-aos-quick-deliver,false,aos-quickflow,Create Mode,"Quick deliver a single AOS content piece",,
